filename,width,height,total_samples,duration_sec,motion_min,motion_max,motion_mean,motion_median,motion_p90,motion_p95,motion_p99,scene_diff_min,scene_diff_max,scene_diff_mean,scene_diff_median,scene_diff_p90,scene_diff_p95,scene_diff_p99,run_diff_min,run_diff_max,run_diff_mean,run_diff_median,run_diff_p90,run_diff_p95,run_diff_p99,max_contour_min,max_contour_max,max_contour_mean,max_contour_median,max_contour_p90,max_contour_p95,max_contour_p99,brightness_mean
2026-07-02-21-11.mp4,640,360,37,540.0,0.0,4.6089,1.0494,0.7582,2.4724,3.7575,4.4362,0.0,10.9336,6.3088,6.3668,10.3716,10.738,10.906,0.0,4.4696,1.7033,1.9523,3.8822,4.3128,4.4216,0.0,1.2311,0.3711,0.3064,0.9552,1.1136,1.2274,101.5765
2026-07-02-21-21.mp4,640,360,37,540.0,0.0,50.1098,4.0626,0.5069,7.3172,17.498,42.2504,0.0,49.6918,36.4384,40.3711,42.0528,42.5253,47.1357,0.0,12.194,2.3222,1.3737,5.9429,7.3735,11.3152,0.0,24.2125,1.6105,0.4731,1.817,4.4329,20.3069,91.5568
2026-07-02-21-31.mp4,640,360,37,540.0,0.0,8.1406,2.612,2.3542,4.2829,4.8225,7.4761,0.0,16.2669,10.5674,12.7044,15.082,15.9357,16.2531,0.0,7.7092,2.483,2.4158,5.8504,5.9411,7.1398,0.0,2.2337,0.9139,0.8687,1.6863,1.9032,2.1593,90.7524
2026-07-02-21-41.mp4,640,360,37,540.0,0.0,34.2218,4.1085,0.7318,7.0267,22.4706,32.5292,0.0,35.0564,26.7414,32.5352,34.6874,34.9907,35.0494,0.0,31.6892,4.7754,2.1688,12.7813,28.768,31.6366,0.0,18.3283,1.574,0.4245,3.1983,4.703,13.8103,98.4622
2026-07-02-21-51.mp4,640,360,37,540.0,0.0,64.5113,5.749,2.0664,6.6953,24.8665,61.9476,0.0,66.4449,24.0435,20.1315,46.876,47.6115,59.6687,0.0,68.3854,8.8467,3.3694,33.8287,36.1186,57.7357,0.0,52.265,3.8195,0.9681,3.3477,11.8044,49.4426,116.7376
2026-07-02-22-01.mp4,640,360,37,540.0,0.0,55.0829,4.6773,2.8576,9.8337,14.2255,40.7146,0.0,55.6341,19.885,13.3186,54.7947,55.2218,55.5621,0.0,54.8151,11.1279,5.3034,46.9116,52.6047,54.3745,0.0,19.372,2.1287,1.6016,3.4344,4.028,14.2719,140.7189
2026-07-02-22-11.mp4,640,360,37,540.0,0.0,63.3581,3.3818,0.0165,2.4201,11.8865,54.9818,0.0,62.1224,19.5692,0.3724,45.7505,46.6455,56.5571,0.0,62.9093,8.1986,0.3767,43.1572,44.8321,56.516,0.0,57.2654,2.6436,0.0098,1.4464,7.5148,47.7972,133.3141
2026-07-02-22-21.mp4,640,360,37,540.0,0.0,4.049,0.3911,0.0,1.1644,1.4894,3.4729,0.0,5.2821,1.158,0.928,2.7193,4.5719,5.2562,0.0,3.9822,0.4352,0.0,1.8854,3.0786,3.9427,0.0,1.2059,0.2257,0.0,0.8818,1.0421,1.2054,128.0824
2026-07-02-22-31.mp4,640,360,37,540.0,0.0,4.6949,1.1955,1.1445,2.7614,3.3817,4.5536,0.0,4.4766,1.2242,0.6285,2.5583,3.7638,4.3155,0.0,4.7734,0.8788,0.0,2.3972,4.0047,4.5478,0.0,2.5111,0.6161,0.4477,1.4988,1.6793,2.2855,137.9792
2026-07-02-22-41.mp4,640,360,37,540.0,0.0,67.4345,4.7105,0.8802,5.1422,18.137,64.6917,0.0,59.628,32.4677,35.1649,38.1608,38.4117,52.2168,0.0,7.8976,1.3058,0.145,5.7072,6.842,7.7424,0.0,58.6241,3.4022,0.3362,1.4784,11.8737,55.4584,143.3508
