filename,arrival_timestamp_sec,duration_sec,confidence,api_calls,method,notes
2026-07-03-03-51.mp4,0.0,548.2,1.0,1,truck_at_start,
2026-07-03-04-01.mp4,43.9,547.9,1.0,11,binary_search,
2026-07-03-04-11.mp4,0.0,548.1,1.0,1,truck_at_start,
2026-07-03-04-21.mp4,0.0,548.7,1.0,1,truck_at_start,
2026-07-03-04-31.mp4,0.0,549.5,1.0,1,truck_at_start,
2026-07-03-04-41.mp4,0.0,548.3,1.0,1,truck_at_start,
2026-07-03-04-51.mp4,0.0,548.7,1.0,1,truck_at_start,
2026-07-03-05-11.mp4,402.6,541.0,1.0,11,binary_search,
2026-07-03-05-21.mp4,0.0,548.7,1.0,1,truck_at_start,
2026-07-03-05-31.mp4,0.0,549.1,1.0,1,truck_at_start,
2026-07-03-06-01.mp4,0.0,548.4,1.0,1,truck_at_start,
2026-07-03-06-11.mp4,0.0,547.7,1.0,1,truck_at_start,
2026-07-03-06-21.mp4,0.0,548.0,1.0,1,truck_at_start,
2026-07-03-06-31.mp4,0.0,548.6,1.0,1,truck_at_start,
2026-07-03-06-41.mp4,0.0,549.0,1.0,1,truck_at_start,
2026-07-03-06-51.mp4,0.0,549.2,1.0,1,truck_at_start,
2026-07-03-07-01.mp4,0.0,549.2,1.0,1,truck_at_start,
2026-07-03-07-11.mp4,0.0,549.4,1.0,1,truck_at_start,
2026-07-03-07-21.mp4,0.0,549.6,1.0,1,truck_at_start,
2026-07-03-07-31.mp4,0.0,549.4,1.0,1,truck_at_start,
